model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,1,00 1 10,3,45,0
model1,5000,smc,2,000 1 10 100,4,45,0
model1,5000,smc,3,0000 1 10 100 1000,5,45,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,45,0
model1,5000,smc,0,0 1,2,46,0
model1,5000,smc,1,00 1 10,3,46,0
model1,5000,smc,2,00000 1 10 100 1000 10000,6,46,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,46,0
model1,5000,smc,0,0 1,2,47,0
model1,5000,smc,1,00 1 10,3,47,0
model1,5000,smc,2,000 1 10 100,4,47,0
model1,5000,smc,3,0000 1 10 100 1000,5,47,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,47,1
model1,5000,smc,0,0 1,2,48,0
model1,5000,smc,1,00 1 10,3,48,0
model1,5000,smc,2,000 1 10 100,4,48,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,48,0
model1,5000,smc,0,0 1,2,49,0
model1,5000,smc,1,00 1 10,3,49,0
model1,5000,smc,2,000 1 10 100,4,49,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,49,0
model1,5000,smc,0,0 1,2,50,0
model1,5000,smc,1,00 1 10,3,50,0
model1,5000,smc,2,00000 1 10 100 1000 10000,6,50,1
model1,5000,smc,0,0 1,2,51,0
model1,5000,smc,1,00 1 10,3,51,0
model1,5000,smc,2,000 1 10 100,4,51,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,51,0
model1,5000,smc,0,0 1,2,52,0
model1,5000,smc,1,00 1 10,3,52,0
model1,5000,smc,2,000 1 10 100,4,52,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,52,0
model1,5000,smc,0,0 1,2,53,0
model1,5000,smc,1,00 1 10,3,53,0
model1,5000,smc,2,000 1 10 100,4,53,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,53,0
model1,5000,smc,0,0 1,2,54,0
model1,5000,smc,1,00 1 10,3,54,0
model1,5000,smc,2,000 1 10 100,4,54,0
model1,5000,smc,3,0000 1 10 100 1000,5,54,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,54,0
model1,5000,smc,0,0 1,2,55,0
model1,5000,smc,1,00 1 10,3,55,0
model1,5000,smc,2,000 1 10 100,4,55,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,55,0
model1,5000,smc,0,0 1,2,56,0
model1,5000,smc,1,00 1 10,3,56,0
model1,5000,smc,2,000 1 10 100,4,56,1
model1,5000,smc,3,00000 1 10 100 1000 10000,6,56,0
model1,5000,smc,0,0 1,2,57,0
model1,5000,smc,1,00 1 10,3,57,0
model1,5000,smc,2,000 1 10 100,4,57,1
model1,5000,smc,3,00000 1 10 100 1000 10000,6,57,0
model1,5000,smc,0,0 1,2,58,0
model1,5000,smc,1,00 1 10,3,58,0
model1,5000,smc,2,0000 1 10 100 1000,5,58,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,58,1
model1,5000,smc,0,0 1,2,59,0
