sample_size,model_name,estimation_method,resample_n,sample_idx,tree_idx,tree,num_contexts,resample_idx,likelihood
5000,model1,smc,n1,16,2,000 1 10 100,4,2,-360.342156799349
5000,model1,smc,n2,16,0,0 1,2,0,-2563.8658988617044
5000,model1,smc,n2,16,0,0 1,2,1,-2542.967595504757
5000,model1,smc,n2,16,0,0 1,2,2,-2547.0201536003206
5000,model1,smc,n2,16,1,00 1 10,3,0,-1372.7952988076115
5000,model1,smc,n2,16,1,00 1 10,3,1,-1360.0763056523647
5000,model1,smc,n2,16,1,00 1 10,3,2,-1369.1691217034822
5000,model1,smc,n2,16,2,000 1 10 100,4,0,-1122.7156620608475
5000,model1,smc,n2,16,2,000 1 10 100,4,1,-1120.4445835292825
5000,model1,smc,n2,16,2,000 1 10 100,4,2,-1113.8042871209284
5000,model1,smc,n1,17,0,0 1,2,0,-844.3892023729504
5000,model1,smc,n1,17,0,0 1,2,1,-867.2061707084599
5000,model1,smc,n1,17,0,0 1,2,2,-870.7017694087781
5000,model1,smc,n1,17,1,00 1 10,3,0,-456.5096949404201
5000,model1,smc,n1,17,1,00 1 10,3,1,-462.6433297957278
5000,model1,smc,n1,17,1,00 1 10,3,2,-471.20096973649515
5000,model1,smc,n1,17,2,000 1 10 100,4,0,-366.75907049404384
5000,model1,smc,n1,17,2,000 1 10 100,4,1,-390.9127306380926
5000,model1,smc,n1,17,2,000 1 10 100,4,2,-393.66332299129346
5000,model1,smc,n2,17,0,0 1,2,0,-2580.8798274175806
5000,model1,smc,n2,17,0,0 1,2,1,-2578.385491114285
5000,model1,smc,n2,17,0,0 1,2,2,-2606.2476531585944
5000,model1,smc,n2,17,1,00 1 10,3,0,-1406.6743083674962
5000,model1,smc,n2,17,1,00 1 10,3,1,-1389.7182342812305
5000,model1,smc,n2,17,1,00 1 10,3,2,-1408.3748416238664
5000,model1,smc,n2,17,2,000 1 10 100,4,0,-1121.4368469777169
5000,model1,smc,n2,17,2,000 1 10 100,4,1,-1141.1032297607221
5000,model1,smc,n2,17,2,000 1 10 100,4,2,-1156.810178333843
5000,model1,smc,n1,18,0,0 1,2,0,-844.3892023729504
5000,model1,smc,n1,18,0,0 1,2,1,-866.3469591361065
5000,model1,smc,n1,18,0,0 1,2,2,-843.9292430927158
5000,model1,smc,n1,18,1,00 1 10,3,0,-457.25693319318714
5000,model1,smc,n1,18,1,00 1 10,3,1,-467.65753174767127
5000,model1,smc,n1,18,1,00 1 10,3,2,-458.0593721818543
5000,model1,smc,n2,18,0,0 1,2,0,-2480.753607842982
5000,model1,smc,n2,18,0,0 1,2,1,-2564.3476907882764
5000,model1,smc,n2,18,0,0 1,2,2,-2517.6835310625224
5000,model1,smc,n2,18,1,00 1 10,3,0,-1336.5941903116557
5000,model1,smc,n2,18,1,00 1 10,3,1,-1391.2239147040154
5000,model1,smc,n2,18,1,00 1 10,3,2,-1361.0988446659562
5000,model1,smc,n1,19,0,0 1,2,0,-848.2114017151712
5000,model1,smc,n1,19,0,0 1,2,1,-823.2365267294216
5000,model1,smc,n1,19,0,0 1,2,2,-828.3164994743083
5000,model1,smc,n1,19,1,00 1 10,3,0,-452.63179796480057
5000,model1,smc,n1,19,1,00 1 10,3,1,-435.30817685118546
5000,model1,smc,n1,19,1,00 1 10,3,2,-439.10955190446106
5000,model1,smc,n1,19,2,000 1 10 100,4,0,-379.34435248620815
5000,model1,smc,n1,19,2,000 1 10 100,4,1,-369.87785284573806
5000,model1,smc,n1,19,2,000 1 10 100,4,2,-372.4791252463418
5000,model1,smc,n2,19,0,0 1,2,0,-2562.438547782037
5000,model1,smc,n2,19,0,0 1,2,1,-2496.7275051442057
5000,model1,smc,n2,19,0,0 1,2,2,-2487.6208530620133
5000,model1,smc,n2,19,1,00 1 10,3,0,-1376.8994154602651
5000,model1,smc,n2,19,1,00 1 10,3,1,-1327.2658899060436
5000,model1,smc,n2,19,1,00 1 10,3,2,-1327.1559632393482
5000,model1,smc,n2,19,2,000 1 10 100,4,0,-1146.4701136137458
5000,model1,smc,n2,19,2,000 1 10 100,4,1,-1112.7011595322963
5000,model1,smc,n2,19,2,000 1 10 100,4,2,-1103.7632573548885
5000,model1,smc,n1,20,0,0 1,2,0,-824.3639516752299
5000,model1,smc,n1,20,0,0 1,2,1,-788.1386227432137
5000,model1,smc,n1,20,0,0 1,2,2,-810.8379190864696
5000,model1,smc,n1,20,1,00 1 10,3,0,-445.24238659894894
5000,model1,smc,n1,20,1,00 1 10,3,1,-418.4066274674145
5000,model1,smc,n1,20,1,00 1 10,3,2,-437.42877142513026
5000,model1,smc,n2,20,0,0 1,2,0,-2510.0875378148457
5000,model1,smc,n2,20,0,0 1,2,1,-2482.583575135728
5000,model1,smc,n2,20,0,0 1,2,2,-2490.585243724835
5000,model1,smc,n2,20,1,00 1 10,3,0,-1361.2740554144623
5000,model1,smc,n2,20,1,00 1 10,3,1,-1334.0478188689908
5000,model1,smc,n2,20,1,00 1 10,3,2,-1343.6398020799793
5000,model1,smc,n1,21,0,0 1,2,0,-849.9275057551456
5000,model1,smc,n1,21,0,0 1,2,1,-823.5653856147776
5000,model1,smc,n1,21,0,0 1,2,2,-867.6618924563967
5000,model1,smc,n1,21,1,00 1 10,3,0,-455.04750770622303
5000,model1,smc,n1,21,1,00 1 10,3,1,-443.37738660483046
5000,model1,smc,n1,21,1,00 1 10,3,2,-465.1826606716811
5000,model1,smc,n2,21,0,0 1,2,0,-2548.9444586054324
5000,model1,smc,n2,21,0,0 1,2,1,-2570.874351630929
5000,model1,smc,n2,21,0,0 1,2,2,-2582.217447048881
5000,model1,smc,n2,21,1,00 1 10,3,0,-1369.1672096231496
5000,model1,smc,n2,21,1,00 1 10,3,1,-1391.0587392606208
5000,model1,smc,n2,21,1,00 1 10,3,2,-1384.6843899229018
5000,model1,smc,n1,22,0,0 1,2,0,-838.7465686341372
5000,model1,smc,n1,22,0,0 1,2,1,-819.5615097484402
5000,model1,smc,n1,22,0,0 1,2,2,-818.4212074472161
5000,model1,smc,n1,22,1,00 1 10,3,0,-449.1106485239325
5000,model1,smc,n1,22,1,00 1 10,3,1,-443.65041153492257
5000,model1,smc,n1,22,1,00 1 10,3,2,-437.79825488084646
5000,model1,smc,n1,22,2,000 1 10 100,4,0,-371.393029482709
5000,model1,smc,n1,22,2,000 1 10 100,4,1,-352.0041190643905
5000,model1,smc,n1,22,2,000 1 10 100,4,2,-356.7484559889001
5000,model1,smc,n2,22,0,0 1,2,0,-2555.873993258182
5000,model1,smc,n2,22,0,0 1,2,1,-2491.3768804669435
5000,model1,smc,n2,22,0,0 1,2,2,-2541.031583817343
5000,model1,smc,n2,22,1,00 1 10,3,0,-1385.7114463752373
5000,model1,smc,n2,22,1,00 1 10,3,1,-1346.8425245493595
5000,model1,smc,n2,22,1,00 1 10,3,2,-1364.6675897462746
5000,model1,smc,n2,22,2,000 1 10 100,4,0,-1128.3290331896505
5000,model1,smc,n2,22,2,000 1 10 100,4,1,-1085.6627566242562
5000,model1,smc,n2,22,2,000 1 10 100,4,2,-1118.2248336586772
5000,model1,smc,n1,23,0,0 1,2,0,-854.2440468844005
5000,model1,smc,n1,23,0,0 1,2,1,-840.0330131818403
5000,model1,smc,n1,23,0,0 1,2,2,-812.9417537908898
5000,model1,smc,n1,23,1,00 1 10,3,0,-466.407248252244
5000,model1,smc,n1,23,1,00 1 10,3,1,-457.39034779927647
5000,model1,smc,n1,23,1,00 1 10,3,2,-438.9494868274658
5000,model1,smc,n1,23,2,000 1 10 100,4,0,-379.86071037205994
5000,model1,smc,n1,23,2,000 1 10 100,4,1,-381.10707710706845
5000,model1,smc,n1,23,2,000 1 10 100,4,2,-356.5442755540618
5000,model1,smc,n2,23,0,0 1,2,0,-2545.3616082260874
5000,model1,smc,n2,23,0,0 1,2,1,-2579.121763671369
5000,model1,smc,n2,23,0,0 1,2,2,-2470.715524070344
5000,model1,smc,n2,23,1,00 1 10,3,0,-1377.6456928638408
5000,model1,smc,n2,23,1,00 1 10,3,1,-1398.8242641224188
