model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,8,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1743.1849089222974,0
model1,8,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1743.1849089222976,0
model1,8,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1743.1849089222976,0
model1,8,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1743.196277867336,0
model1,8,prune,9,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1743.5214954428372,0
model1,8,prune,10,000000 00010 001000 001010 1 100 10000 100000 10010 101000 101010,11,-1744.0090239142617,0
model1,8,prune,11,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-1744.024027532984,0
model1,8,prune,12,000000 0010 001010 1 100 1000 10000 100000 101010,9,-1744.5470151337006,0
model1,8,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,-1745.262223297194,0
model1,8,prune,14,00000 0010 1 100 1000 10000 1010,7,-1746.1762341277004,0
model1,8,prune,15,0000 0010 1 100 1000 1010,6,-1746.2033749742268,0
model1,8,prune,16,000 0010 1 100 1010,5,-1746.214805593043,0
model1,8,prune,17,00 0010 1 1010,4,-1747.0388099161275,1
model1,8,prune,18,00 1 10,3,-1750.1859515719905,0
model1,8,prune,19,0 1,2,-1761.6218212651215,0
model1,9,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1625.943596207744,0
model1,9,prune,1,000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,20,-1625.943596207744,0
model1,9,prune,2,000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,19,-1625.943596207744,0
model1,9,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1625.943596207744,0
model1,9,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1625.9435962077441,0
model1,9,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1625.9435962077441,0
model1,9,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1625.943596207744,0
model1,9,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1625.9435962077441,0
model1,9,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1625.9441310688344,0
model1,9,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1626.0205689672719,0
model1,9,prune,10,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,-1626.934579797778,0
model1,9,prune,11,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-1628.2620172669167,0
model1,9,prune,12,00000 000100 0010 1 1000 10000 100100 1010 10100,9,-1628.8848372718858,0
model1,9,prune,13,00000 000100 1 10 1000 10000 100100 10100,8,-1629.6345096391874,0
