model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,12,smc,0.0817903380175991,4,0000 0010 00100 001000 001010 1 10100 101000 101010,9,-3364.6906927700575,0,7
model1,12,smc,0.1321984466441447,5,000 0010 00100 001010 1 10100 101010,7,-3365.9082682235794,0,7
model1,12,smc,0.3038129556147414,6,000 00100 1 10 10100,5,-3368.7064874279904,0,7
model1,12,smc,0.45026974260149055,7,000 1 10 100,4,-3370.780054524186,1,7
model1,12,smc,0.9351775518646674,8,00 1 10,3,-3375.0866815542513,0,7
model1,12,smc,3.308274875959648,9,0 1,2,-3390.3218495043448,0,7
model1,13,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3436.2112226410077,0,6
model1,13,smc,0.009226799011230469,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3436.253688047594,0,6
model1,13,smc,0.037089399380363375,2,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,-3436.5952918704193,0,6
model1,13,smc,0.06702664548322178,3,0000 00010 001000 001010 1 100 10010 101000 101010,9,-3437.2126226117803,0,6
model1,13,smc,0.13778354522620087,4,000 00010 001010 1 100 10010 101010,7,-3438.4816313753213,0,6
model1,13,smc,0.29481883198760805,5,000 00010 1 100 10010 1010,6,-3439.8393213704044,0,6
model1,13,smc,0.4696884263153418,6,000 1 10 100,4,-3444.1653014795356,1,6
model1,13,smc,0.7018081356248935,7,00 1 10,3,-3447.397235771376,0,6
model1,13,smc,3.367288385678823,8,0 1,2,-3462.9041530229224,0,6
model1,14,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3411.50478547126,0,7
model1,14,smc,0.00010728836059570312,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-3411.5052767865145,0,7
model1,14,smc,0.014534577149660777,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-3411.5722056591026,0,7
model1,14,smc,0.03570902937387886,3,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,-3411.736643595459,0,7
model1,14,smc,0.04904378546167444,4,000 000010 00100 1 100010 10010 1010 10100,8,-3412.414195719068,0,7
model1,14,smc,0.05008039763745674,5,000 0010 00100 1 1010 10100,6,-3412.875437601406,0,7
model1,14,smc,0.14134302538145146,6,000 00100 1 10 10100,5,-3413.5263429500865,0,7
