model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,21,smc,0.023880759899086817,3,0000 00010 00100 001000 001010 1 10010 10100 101000 101010,10,-1688.869728209434,0,9
model1,21,smc,0.030019745089684635,4,0000 00010 00100 001000 1 10010 1010 10100 101000,9,-1688.9975629549267,0,9
model1,21,smc,0.04065853539619335,5,0000 00010 001000 1 100 10010 1010 101000,8,-1689.1707074048797,0,9
model1,21,smc,0.13023703164030198,6,0000 00010 1 100 1000 10010 1010,7,-1689.7253033536595,0,9
model1,21,smc,0.1627131016650017,7,00 00010 1 10010 1010,5,-1691.111123268768,0,9
model1,21,smc,0.23097545124706642,8,00 0010 1 1010,4,-1692.0947479059614,0,9
model1,21,smc,0.3997425106078662,9,00 1 10,3,-1693.7970667007348,1,9
model1,21,smc,3.6607111478966523,10,0 1,2,-1709.3865493549192,0,9
model1,21,smc,396.260377919784,11,,1,-3396.8996440213004,0,9
model1,22,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1714.028644722124,0,5
model1,22,smc,0.0021345913410186768,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1714.0377275731523,0,5
model1,22,smc,0.03438801704874761,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1714.1841696920164,0,5
model1,22,smc,0.057386377506635416,3,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1714.9172981244874,0,5
model1,22,smc,0.0662962491726571,4,000 000010 1 100 100010 10010 1010,7,-1715.4819475048132,0,5
model1,22,smc,0.0783832133378636,5,000 1 10 100,4,-1716.4833412273026,1,5
model1,22,smc,0.5518716026476371,6,00 1 10,3,-1718.8335356094628,0,5
model1,22,smc,1.6636629981463789,7,0 1,2,-1725.9183942579602,0,5
model1,22,smc,391.84110252537147,8,,1,-3394.6115642060245,0,5
model1,23,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1706.7825518259872,0,7
model1,23,smc,0.012770295143127441,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-1706.8912682115654,0,7
model1,23,smc,0.014707396622348767,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-1706.9538892097594,0,7
model1,23,smc,0.029686348296736983,3,000000 0010 00100 001010 1 1000 10000 100000 10100 101010,10,-1707.0803049326419,0,7
model1,23,smc,0.04391983739635248,4,000000 0010 001010 1 100 1000 10000 100000 101010,9,-1707.2673391892645,0,7
model1,23,smc,0.08221618272080715,5,000000 0010 1 100 1000 10000 100000 1010,8,-1707.6174614192769,0,7
model1,23,smc,0.13978666421168576,6,000 0010 1 100 1010,5,-1709.403334984085,0,7
model1,23,smc,0.14528458651250847,7,000 1 10 100,4,-1710.0220426557148,1,7
model1,23,smc,0.5899550030790175,8,00 1 10,3,-1712.5344022865333,0,7
model1,23,smc,2.4027898289127547,9,0 1,2,-1722.7668988532919,0,7
model1,23,smc,392.6584652682038,10,,1,-3394.9409006661745,0,7
model1,24,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1645.606214434748,0,7
model1,24,smc,0.0044442713260650635,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1645.6251372699367,0,7
model1,24,smc,0.011730874381998824,2,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010,12,-1645.675070926773,0,7
model1,24,smc,0.031966176516530234,3,000000 00010 00100 001010 1 1000 10000 100000 10010 10100 101010,11,-1645.8111757355368,0,7
