sample_idx,tree_idx,tree
23,9,00 1 10
23,10,0 1
24,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
24,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
24,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
24,3,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010
24,4,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010
24,5,0000 000100 0010 001000 001010 1 100100 10100 101000 101010
24,6,000 000100 0010 001010 1 100100 10100 101010
24,7,000 0010 00100 001010 1 10100 101010
24,8,000 0010 00100 1 1010 10100
24,9,000 00100 1 10 10100
24,10,000 1 10 100
24,11,00 1 10
24,12,0 1
25,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
25,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
25,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
25,3,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010
25,4,00000 00010 000100 001000 1 10000 10010 100100 1010 10100 101000
25,5,0000 00010 000100 001000 1 10010 100100 1010 10100 101000
25,6,0000 00010 001000 1 100 10010 1010 101000
25,7,0000 0010 001000 1 100 1010 101000
25,8,00 0010 1 1010
25,9,00 1 10
25,10,0 1
26,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
26,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
26,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
26,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
26,4,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
26,5,00000 0010 00100 001010 1 1000 10000 10100 101010
26,6,00000 0010 001010 1 100 1000 10000 101010
26,7,00 0010 001010 1 101010
26,8,00 1 10
26,9,0 1
27,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
27,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
27,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
27,3,000000 00010 001000 001010 1 100 10000 100000 10010 101000 101010
27,4,000000 00010 001000 1 100 10000 100000 10010 1010 101000
27,5,000000 00010 1 100 1000 10000 100000 10010 1010
27,6,000 00010 1 100 10010 1010
27,7,000 0010 1 100 1010
27,8,000 1 10 100
27,9,00 1 10
27,10,0 1
28,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
28,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
28,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010
28,3,000000 000100 0010 001000 1 10000 100000 100100 1010 10100 101000
28,4,000000 000100 001000 1 10 10000 100000 100100 10100 101000
28,5,00000 000100 001000 1 10 10000 100100 10100 101000
28,6,00000 001000 1 10 100 10000 101000
28,7,00000 1 10 100 1000 10000
28,8,000 1 10 100
28,9,00 1 10
28,10,0 1
29,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
29,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
29,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
29,3,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
29,4,000000 000100 0010 1 1000 10000 100000 100100 1010 10100
